 File,c:\shareddata\ronald\2017-02-28\pa\stub01\stub01.csv
 Stub,SG170216_06
 Date, 2,28,2017
 Time,16, 9
 Acc.,Voltage,10.0
 Magn:,   600
Thresholds:
 Phase,Low,Upp
   1,  23, 255
 TakeOff,37.4
 Preset,Time:,   3.0
 Elem, 5
 Data,Type:,ZAF Elem.,Wt%
 Particle, Scan,10
 Part#,Field#,Phase#,X_stage,Y_stage,X_cent,Y_cent,X_left,Y_low,X_width,Y_height,Xferet,Yferet,AvgDiam,LProj,Area,Perim,Shape,Aspe,Orient,CK,OK,AlK,SiK,UM,  CPS ,AvgVideo,StgX ,StgY ,MinCnts
   21,18, 1,  3955,  2336,1313,1554,1282,1529,  32,  25,    1.62,    1.85,    1.50,    2.18,   1.7672,    5.32,    1.28,    2.12, 60,  24.48,   5.02,   1.06,   1.50,  67.95,  1331, 72,   4.022,   2.473,3873
   22,18, 1,  3955,  2336,1027,1087, 995,1063,  32,  25,    1.16,    1.39,    1.22,    1.48,   1.1781,    3.93,    1.05,    1.46, 36,  10.52,  12.70,   0.86,   1.34,  74.59,  1390, 83,   3.956,   2.365,3977
   23,18, 1,  3955,  2336,1732, 780,1699, 756,  32,  25,    1.39,    1.16,    1.20,    1.48,   1.1246,    3.93,    1.10,    1.53, 53,   9.16,  18.59,   0.00,   1.57,  70.68,  1655,116,   4.119,   2.294,4750
   24,18, 1,  3955,  2336, 165, 609, 133, 585,  32,  25,    1.16,    1.16,    1.20,    1.35,   1.1246,    3.47,    0.85,    1.27, 90,   8.84,  17.27,   1.03,   0.00,  72.85,  1547,107,   3.756,   2.255,4384
   25,19, 1, -4086,  1966, 201, 165, 169, 141,  32,  25,    1.39,    1.16,    1.33,    1.55,   1.3923,    3.93,    0.88,    1.36,-38,  10.85,  18.66,   0.00,   0.00,  70.49,  1526,112,  -4.276,   1.782,4464
   26,20, 1, -3613,  1966, 988, 983, 956, 959,  32,  25,    1.16,    1.39,    1.25,    1.48,   1.2317,    3.93,    1.00,    1.40, 36,  10.90,  19.91,   0.00,   0.00,  69.20,  1417,107,  -3.621,   1.971,4295
   27,21, 1, -3139,  1966, 731, 704, 699, 680,  32,  25,    1.39,    1.16,    1.25,    1.48,   1.2317,    3.93,    1.00,    1.40, 53,  10.00,  21.60,   0.00,   0.00,  68.40,  1561,126,  -3.207,   1.907,4452
   28,25, 1, -1247,  1966, 275,1015, 242, 991,  32,  25,    1.39,    1.16,    1.14,    1.39,   1.0175,    3.93,    1.21,    1.49,-11,  10.88,  13.83,   1.55,   1.17,  72.57,  1368, 94,  -1.420,   1.979,4050
   29,25, 1, -1247,  1966,1648, 743,1616, 719,  32,  25,    1.16,    1.16,    1.14,    1.35,   1.0175,    3.47,    0.94,    1.41, 90,   8.52,  19.97,   0.00,   0.00,  71.51,  1646,140,  -1.103,   1.916,4771
   30,26, 1,  -775,  1966, 459, 111, 428,  87,  32,  25,    1.16,    0.93,    1.08,    1.35,   0.9104,    3.24,    0.92,    1.57, 26,  11.24,  18.11,   1.62,   0.00,  69.03,  1420,114,  -0.906,   1.770,4035
   31,27, 1,  -301,  1966, 492, 682, 460, 658,  32,  25,    1.39,    1.16,    1.22,    1.48,   1.1781,    3.93,    1.05,    1.46, 36,   8.99,  19.69,   0.00,   1.70,  69.63,  1637,148,  -0.424,   1.902,4567
   32,28, 1,   170,  1966,1118,1015,1086, 991,  32,  25,    1.16,    1.39,    1.20,    1.41,   1.1246,    3.93,    1.10,    1.38, 90,   8.79,  19.29,   0.00,   0.00,  71.92,  1460,132,   0.192,   1.979,4400
   33,28, 1,   170,  1966,1540, 823,1508, 799,  32,  25,    1.39,    1.16,    1.25,    1.48,   1.2317,    3.93,    1.00,    1.40, 53,   9.78,  15.00,   0.00,   0.00,  75.22,  1431,100,   0.289,   1.934,4229
   34,28, 1,   170,  1966, 689, 595, 657, 571,  32,  25,    1.39,    1.39,    1.25,    1.46,   1.2317,    4.17,    1.12,    1.37, 90,   8.15,  18.66,   0.00,   0.00,  73.19,  1510,122,   0.092,   1.882,4273
   35,29, 1,   644,  1966, 882,1507, 850,1481,  32,  25,    1.16,    1.16,    1.20,    1.48,   1.1246,    3.47,    0.85,    1.53, 53,   7.55,  23.15,   0.00,   0.00,  69.30,  1710,143,   0.611,   2.093,5073
   36,29, 1,   644,  1966,1890, 722,1858, 698,  32,  25,    1.39,    1.39,    1.38,    1.64,   1.4995,    4.17,    0.92,    1.40, 45,  11.19,  20.12,   0.00,   0.00,  68.69,  1542, 91,   0.844,   1.911,4560
   37,29, 1,   644,  1966,1853, 322,1821, 298,  32,  25,    1.16,    0.93,    1.11,    1.25,   0.9639,    3.24,    0.87,    1.27,-36,  10.49,  18.07,   0.00,   0.00,  71.44,  1630,102,   0.836,   1.818,4608
   38,30, 1,  1117,  1966, 825,1352, 793,1328,  32,  25,    1.16,    1.16,    1.20,    1.35,   1.1246,    3.47,    0.85,    1.27, 90,   8.89,  17.05,   0.00,   0.00,  74.06,  1539,108,   1.071,   2.057,4471
   39,31, 1,  1589,  1966,1604,1287,1572,1263,  32,  25,    1.16,    1.16,    1.20,    1.48,   1.1246,    3.47,    0.85,    1.53, 53,  10.36,  14.22,   0.00,   0.00,  75.42,  1412, 93,   1.723,   2.042,4129
   40,32, 1,  2062,  1966,1071,1330,1039,1306,  32,  25,    1.16,    1.16,    1.17,    1.35,   1.0710,    3.47,    0.90,    1.34, 26,   9.12,  18.76,   0.00,   0.00,  72.11,  1549,124,   2.073,   2.052,4531
   41,32, 1,  2062,  1966,  82, 965,  50, 941,  32,  25,    1.16,    1.16,    1.20,    1.48,   1.1246,    3.47,    0.85,    1.53, 36,   9.49,  21.14,   0.00,   0.00,  69.37,  1483,123,   1.844,   1.967,4237
   42,33, 1,  2536,  1966, 997,1459, 965,1435,  32,  25,    1.39,    1.39,    1.28,    1.55,   1.2852,    4.17,    1.07,    1.47, 90,  11.64,  10.40,   0.00,   0.00,  77.96,  1330, 84,   2.530,   2.081,3872
   43,33, 1,  2536,  1966, 505, 963, 472, 939,  32,  25,    1.39,    1.39,    1.20,    1.41,   1.1246,    4.17,    1.23,    1.38, 90,  12.12,  19.83,   0.00,   0.00,  68.05,  1441, 94,   2.416,   1.967,4255
   44,33, 1,  2536,  1966,1389, 942,1357, 918,  32,  25,    1.39,    1.16,    1.20,    1.46,   1.1246,    3.93,    1.10,    1.50, 11,  10.67,  15.33,   0.95,   1.69,  71.36,  1459,117,   2.620,   1.962,4267
   45,33, 1,  2536,  1966, 985, 721, 953, 697,  32,  25,    1.16,    1.39,    1.25,    1.48,   1.2317,    3.93,    1.00,    1.40, 36,   9.58,  18.15,   0.00,   0.00,  72.27,  1552,129,   2.527,   1.911,4465
   46,34, 1,  3009,  1966,1789,1589,1757,1565,  32,  25,    1.16,    1.16,    1.22,    1.48,   1.1781,    3.47,    0.81,    1.46, 53,   9.66,  22.69,   0.00,   0.00,  67.65,  1651,131,   3.186,   2.112,4643
   47,35, 1,  3482,  1966,1988,  42,1956,  17,  32,  25,    0.93,    0.69,    0.87,    1.03,   0.5891,    2.31,    0.72,    1.43, 18,   9.29,  17.78,   0.00,   1.46,  71.47,  1560,109,   3.705,   1.754,4582
   48,35, 1,  3482,  1966, 916,   9, 884,   0,  32,  25,    1.16,    1.16,    1.17,    1.35,   1.0710,    3.47,    0.90,    1.34, 90,   9.11,  16.63,   0.00,   0.00,  74.26,  1522,119,   3.457,   1.746,4481
   49,36, 1,  3955,  1966, 858, 256, 826, 232,  32,  25,    1.16,    1.16,    1.20,    1.35,   1.1246,    3.47,    0.85,    1.27, 90,   8.65,  19.87,   0.00,   0.00,  71.48,  1555,113,   3.917,   1.803,4618
   50,37, 1, -4085,  1595,2010,1440,1977,1414,  32,  25,    1.39,    1.16,    1.20,    1.55,   1.1246,    3.93,    1.10,    1.68, 21,   8.16,  23.72,   0.00,   0.00,  68.11,  1831,132,  -3.857,   1.706,5283
   51,37, 1, -4085,  1595, 510,1407, 478,1382,  32,  25,    1.39,    1.39,    1.25,    1.46,   1.2317,    4.17,    1.12,    1.37, 11,  10.00,  20.71,   0.00,   0.00,  69.29,  1412,125,  -4.204,   1.698,4209
   52,37, 1, -4085,  1595, 319,1334, 287,1311,  32,  25,    1.85,    2.55,    2.04,    2.59,   3.2667,    6.71,    1.10,    1.61, 90,  23.02,  16.05,   0.00,   0.00,  60.93,  1463,122,  -4.248,   1.682,4206
   53,40, 1, -2666,  1595,1044, 499,1012, 475,  32,  25,    1.39,    1.39,    1.38,    1.67,   1.4995,    4.17,    0.92,    1.46, 30,  11.11,  19.15,   0.00,   0.00,  69.74,  1422,124,  -2.661,   1.488,4305
   54,41, 1, -2193,  1595,1600, 202,1568, 176,  32,  25,    0.93,    0.93,    1.04,    1.31,   0.8568,    2.78,    0.72,    1.57, 45,   8.62,  21.88,   0.00,   0.00,  69.50,  1628,129,  -2.060,   1.420,4866
   55,42, 1, -1720,  1595, 549, 956, 516, 933,  32,  25,    1.39,    1.16,    1.22,    1.46,   1.1781,    3.93,    1.05,    1.43, 11,  13.67,  15.08,   0.97,   0.85,  69.43,  1491,  0,  -1.830,   1.594,4266
   56,42, 1, -1720,  1595, 936, 708, 903, 684,  32,  25,    1.39,    1.39,    1.33,    1.55,   1.3923,    4.17,    0.99,    1.36, 90,   8.24,  18.71,   0.00,   0.00,  73.05,  1616,136,  -1.740,   1.537,4614
   57,42, 1, -1720,  1595, 762, 132, 730, 108,  32,  25,    2.55,    2.08,    1.71,    2.64,   2.3027,    7.17,    1.78,    2.37,-21,   8.41,  16.43,   0.00,   2.46,  72.70,  1606, 69,  -1.781,   1.403,4566
   58,43, 1, -1247,  1595, 502, 876, 470, 852,  32,  25,    1.39,    1.16,    1.25,    1.46,   1.2317,    3.93,    1.00,    1.37, 11,   9.83,  18.80,   0.00,   0.00,  71.37,  1538,115,  -1.368,   1.576,4422
   59,46, 1,   171,  1595,1803,1336,1771,1311,  32,  25,    0.69,    0.46,    0.58,    0.83,   0.2678,    1.62,    0.78,    2.04, 90,  23.15,  12.80,   0.00,   0.00,  64.04,  1470, 59,   0.351,   1.682,4345
   60,46, 1,   171,  1595,  17, 103,   0,  79,  32,  25,    1.39,    1.16,    1.25,    1.48,   1.2317,    3.93,    1.00,    1.40, 53,   8.86,  20.86,   0.00,   0.00,  70.29,  1490,105,  -0.062,   1.397,4392
   61,47, 1,   644,  1595,1791, 205,1760, 180,  32,  25,    1.16,    1.16,    1.11,    1.25,   0.9639,    3.47,    0.99,    1.27, 90,   9.74,  21.24,   0.00,   0.00,  69.02,  1581,104,   0.821,   1.420,4573
   62,47, 1,   644,  1595,1376, 141,1344, 117,  32,  25,    1.16,    1.16,    1.14,    1.31,   1.0175,    3.47,    0.94,    1.32, 45,   9.09,  19.02,   0.00,   0.00,  71.90,  1571,135,   0.725,   1.405,4557
   63,49, 1,  1589,  1595,2033, 866,2001, 842,  32,  25,    1.39,    1.16,    1.14,    1.55,   1.0175,    3.93,    1.21,    1.86, 21,   8.99,  17.01,   0.00,   0.00,  74.00,  1583,129,   1.822,   1.573,4538
   64,50, 1,  2062,  1595,1222,1421,1190,1397,  32,  25,    1.16,    1.39,    1.28,    1.55,   1.2852,    3.93,    0.96,    1.47, 90,   7.56,  13.96,   0.00,   0.00,  78.48,  1438,100,   2.108,   1.702,4357
   65,50, 1,  2062,  1595,1116,1301,1084,1277,  32,  25,    1.39,    1.39,    1.36,    1.67,   1.4459,    4.17,    0.95,    1.51, 59,  10.73,  16.97,   0.00,   0.00,  72.30,  1410,109,   2.083,   1.674,4124
   66,50, 1,  2062,  1595, 655, 748, 622, 724,  32,  25,    1.39,    1.16,    1.20,    1.48,   1.1246,    3.93,    1.10,    1.53, 53,   8.46,  23.24,   0.00,   0.00,  68.30,  1645,142,   1.977,   1.546,4885
   67,50, 1,  2062,  1595,1954, 294,1923, 270,  32,  25,    1.16,    0.93,    1.01,    1.18,   0.8033,    3.24,    1.04,    1.36,-26,   9.78,  20.11,   0.00,   0.00,  70.11,  1522, 98,   2.277,   1.441,4460
   68,51, 1,  2536,  1595, 834,  68, 801,  45,  32,  25,    1.39,    1.16,    1.14,    1.48,   1.0175,    3.93,    1.21,    1.69, 53,  15.49,  23.88,   0.00,   0.00,  60.63,  1540, 63,   2.492,   1.389,4678
   69,51, 1,  2536,  1595, 954,  24, 922,   0,  32,  25,    1.16,    1.16,    1.17,    1.25,   1.0710,    3.47,    0.90,    1.14, 90,   9.06,  16.32,   0.00,   0.00,  74.62,  1525,131,   2.520,   1.378,4458
   70,53, 1,  3482,  1595,1068,1382,1036,1358,  32,  25,    1.16,    1.16,    1.17,    1.35,   1.0710,    3.47,    0.90,    1.34, 90,  10.43,  16.47,   0.00,   0.00,  73.10,  1499,101,   3.492,   1.693,4316
   71,54, 1,  3955,  1595,1718,1403,1686,1379,  32,  25,    1.39,    1.62,    1.50,    1.81,   1.7672,    4.63,    0.96,    1.45, 51,  13.76,  18.24,   0.00,   3.21,  64.78,  1400,106,   4.116,   1.698,4196
   72,54, 1,  3955,  1595, 876, 253, 844, 229,  32,  25,    1.16,    1.16,    1.20,    1.35,   1.1246,    3.47,    0.85,    1.27, 90,   8.47,  20.51,   0.00,   0.00,  71.02,  1554,144,   3.921,   1.431,4556
   73,55, 1, -4085,  1226,1547,1430,1515,1406,  32,  25,    1.39,    1.39,    1.33,    1.46,   1.3923,    4.86,    1.35,    1.21, 90,   9.53,  18.22,   0.00,   0.00,  72.25,  1509,132,  -3.964,   1.335,4412
   74,56, 1, -3613,  1226,1659, 494,1627, 470,  32,  25,    1.16,    1.16,    1.11,    1.25,   0.9639,    3.47,    0.99,    1.27, 90,   8.84,  19.60,   0.00,   0.00,  71.56,  1667,127,  -3.466,   1.118,4633
   75,57, 1, -3140,  1226,1698, 751,1666, 727,  32,  25,    1.39,    0.93,    1.14,    1.41,   1.0175,    3.47,    0.94,    1.53,-21,   9.68,  22.14,   0.00,   0.00,  68.17,  1575,123,  -2.984,   1.178,4548
   76,58, 1, -2666,  1226,1760, 955,1728, 931,  32,  25,    1.16,    1.16,    1.14,    1.48,   1.0175,    3.47,    0.94,    1.69, 53,   8.38,  16.69,   0.00,   0.00,  74.93,  1464,116,  -2.496,   1.225,4390
   77,60, 1, -1720,  1226, 589,1581, 557,1557,  32,  25,    1.16,    1.16,    1.17,    1.35,   1.0710,    3.47,    0.90,    1.34, 90,   8.83,  21.43,   0.00,   0.00,  69.74,  1606,135,  -1.821,   1.370,4724
   78,61, 1, -1248,  1226,2043, 240,2011, 216,  32,  25,    1.16,    0.93,    1.11,    1.25,   0.9639,    3.24,    0.87,    1.27,-36,  10.12,  20.60,   0.00,   0.00,  69.28,  1606,100,  -1.012,   1.059,4639
   79,62, 1,  -774,  1226,1886, 848,1854, 824,  32,  25,    1.39,    1.16,    1.14,    1.46,   1.0175,    3.93,    1.21,    1.65, 11,  11.45,  15.39,   0.00,   0.00,  73.16,  1441,104,  -0.575,   1.200,4236
   80,63, 1,  -302,  1226,1676, 964,1645, 940,  32,  25,    1.62,    1.16,    1.25,    1.68,   1.2317,    4.17,    1.12,    1.81,  9,   9.39,  13.86,   0.00,   0.00,  76.75,  1461,107,  -0.151,   1.227,4284
   81,63, 1,  -302,  1226,1532, 784,1500, 760,  32,  25,    1.16,    1.16,    1.20,    1.35,   1.1246,    3.47,    0.85,    1.27, 90,   8.96,  22.03,   0.00,   0.00,  69.01,  1629,140,  -0.184,   1.185,4851
   82,63, 1,  -302,  1226,1938, 632,1905, 608,  32,  25,    1.39,    0.93,    1.11,    1.41,   0.9639,    3.47,    0.99,    1.61,  0,   9.49,  19.08,   0.00,   0.00,  71.42,  1525,105,  -0.090,   1.150,4566
   83,63, 1,  -302,  1226,1791, 559,1759, 535,  32,  25,    1.16,    0.93,    1.11,    1.25,   0.9639,    3.24,    0.87,    1.27,-36,   9.58,  18.28,   0.00,   0.00,  72.13,  1486,121,  -0.125,   1.133,4410
   84,63, 1,  -302,  1226, 831, 505, 799, 481,  32,  25,    1.39,    1.16,    1.28,    1.48,   1.2852,    3.93,    0.96,    1.34, 53,   9.05,  18.29,   0.00,   0.00,  72.66,  1444,129,  -0.347,   1.121,4405
   85,64, 1,   170,  1226, 414,1493, 382,1469,  32,  25,    1.16,    1.16,    1.14,    1.35,   1.0175,    3.47,    0.94,    1.41, 26,   8.96,  17.85,   0.00,   0.00,  73.19,  1449,112,   0.029,   1.349,4420
   86,64, 1,   170,  1226,2008, 421,1976, 397,  32,  25,    1.39,    1.16,    1.20,    1.41,   1.1246,    3.93,    1.10,    1.38,  0,   9.50,  17.91,   0.00,   0.00,  72.59,  1487,122,   0.398,   1.101,4376
   87,65, 1,   644,  1226, 909,1256, 877,1232,  32,  25,    1.16,    1.39,    1.20,    1.46,   1.1246,    3.93,    1.10,    1.50, 90,   8.82,  17.89,   0.00,   0.00,  73.30,  1503,104,   0.617,   1.294,4509
   88,65, 1,   644,  1226,1080, 478,1048, 455,  32,  25,    0.93,    2.08,    1.33,    2.10,   1.3923,    4.17,    0.99,    2.48, 90,  20.66,  19.87,   1.02,   1.06,  57.39,  1536, 81,   0.657,   1.114,4384
   89,65, 1,   644,  1226, 589, 415, 557, 389,  32,  25,    1.16,    1.16,    1.20,    1.48,   1.1246,    3.47,    0.85,    1.53, 36,   7.44,  20.13,   0.00,   0.00,  72.44,  1669,131,   0.543,   1.100,4966
   90,67, 1,  1590,  1226, 312,1435, 281,1411,  32,  25,    1.16,    0.93,    1.08,    1.35,   0.9104,    3.24,    0.92,    1.57, 26,  13.93,  12.83,   1.54,   1.90,  69.80,  1368, 64,   1.425,   1.336,3925
   91,67, 1,  1590,  1226,1395,1123,1364,1099,  32,  25,    2.31,    0.93,    1.33,    2.49,   1.3923,    5.55,    1.76,    3.50, 18,  33.72,   5.55,   0.00,   0.00,  60.73,  1252, 35,   1.676,   1.264,3746
   92,67, 1,  1590,  1226,2014, 795,1982, 771,  32,  25,    1.16,    0.93,    1.04,    1.35,   0.8568,    3.24,    0.97,    1.67, 26,   8.86,  21.70,   0.00,   0.00,  69.44,  1711,137,   1.819,   1.188,4906
   93,67, 1,  1590,  1226, 694, 286, 662, 262,  32,  25,    1.39,    0.93,    1.20,    1.46,   1.1246,    3.47,    0.85,    1.50,-30,   9.37,  14.84,   0.00,   0.00,  75.79,  1363,106,   1.514,   1.070,4172
   94,68, 1,  2062,  1226, 364,1414, 332,1390,  32,  25,    1.16,    1.16,    1.17,    1.35,   1.0710,    3.47,    0.90,    1.34, 90,   8.95,  22.11,   0.00,   0.00,  68.94,  1535,139,   1.909,   1.331,4369
   95,69, 1,  2535,  1226,1424,1119,1392,1093,  32,  25,    1.62,    2.55,    1.77,    2.90,   2.4634,    6.25,    1.26,    2.68, 63,   9.13,  10.87,   0.00,   0.00,  80.00,  1521, 95,   2.628,   1.263,4372
   96,69, 1,  2535,  1226,1730, 905,1698, 881,  32,  25,    1.39,    1.16,    1.11,    1.46,   0.9639,    3.93,    1.28,    1.75, 11,   8.95,  14.18,   1.16,   0.00,  75.71,  1486,101,   2.698,   1.213,4323
   97,70, 1,  3009,  1226,1724,1349,1692,1325,  32,  25,    1.16,    1.39,    1.14,    1.48,   1.0175,    3.93,    1.21,    1.69, 36,  10.38,  18.97,   0.00,   1.41,  69.24,  1488,106,   3.171,   1.316,4244
   98,70, 1,  3009,  1226,1869,1134,1838,1110,  32,  25,    1.16,    0.93,    1.04,    1.48,   0.8568,    3.24,    0.97,    2.01, 36,  38.99,  11.44,   0.00,   0.00,  49.57,  1413, 28,   3.205,   1.266,4098
   99,70, 1,  3009,  1226,1964,1057,1933,1033,  32,  25,    2.55,    1.62,    1.75,    2.71,   2.4098,    6.25,    1.29,    2.39, 16,  12.78,  13.06,   0.00,   0.00,  74.16,  1435,  0,   3.227,   1.248,4221
  100,70, 1,  3009,  1226,1711, 140,1680, 116,  32,  25,    2.08,    1.85,    1.88,    2.20,   2.7847,    6.02,    1.03,    1.36,-26,  23.19,  15.29,   1.29,   0.93,  59.30,  1476, 89,   3.168,   1.036,4382
  101,72, 1,  3955,  1226,1299,1392,1267,1368,  32,  25,    1.16,    1.39,    1.22,    1.48,   1.1781,    3.93,    1.05,    1.46, 36,  15.42,  16.92,   0.00,   0.00,  67.66,  1433, 70,   4.019,   1.326,4186
  102,72, 1,  3955,  1226,1019,1206, 986,1182,  32,  25,    1.39,    1.39,    1.28,    1.48,   1.2852,    4.17,    1.07,    1.34, 53,  14.95,  14.70,   0.00,   0.00,  70.36,  1395,  5,   3.954,   1.283,4225
  103,75, 1, -3139,   855,1925, 526,1893, 502,  32,  25,    1.39,    0.93,    1.04,    1.39,   0.8568,    3.47,    1.12,    1.77,-11,  11.08,  16.66,   1.19,   1.61,  69.46,  1497,114,  -2.930,   0.755,4380
  104,75, 1, -3139,   855,1895, 469,1863, 445,  32,  25,    1.16,    1.16,    1.17,    1.35,   1.0710,    3.47,    0.90,    1.34, 90,   9.93,  16.66,   0.00,   1.35,  72.06,  1582, 90,  -2.937,   0.741,4689
  105,77, 1, -2193,   855,1445, 873,1413, 849,  32,  25,    1.16,    1.16,    1.17,    1.48,   1.0710,    3.47,    0.90,    1.61, 53,   8.88,  23.79,   0.00,   0.00,  67.33,  1655,113,  -2.096,   0.835,4695
  106,78, 1, -1720,   855,1381, 404,1349, 380,  32,  25,    1.16,    1.16,    1.17,    1.48,   1.0710,    3.47,    0.90,    1.61, 53,   8.12,  17.08,   0.00,   0.00,  74.80,  1559,123,  -1.637,   0.726,4574
  107,79, 1, -1247,   855,1636,  85,1604,  61,  32,  25,    0.93,    0.69,    0.83,    1.03,   0.5355,    2.31,    0.80,    1.57, 18,  17.94,  14.63,   1.41,   0.00,  66.02,  1442, 67,  -1.105,   0.653,4172
  108,81, 1,  -302,   855,1733,  31,1701,   0,  32,  25,    0.93,    0.93,    1.01,    1.16,   0.8033,    2.78,    0.76,    1.31, 90,   8.60,  21.74,   0.00,   0.00,  69.66,  1712,136,  -0.138,   0.640,4927
  109,82, 1,   171,   855,1648,1155,1616,1131,  32,  25,    1.16,    1.39,    1.17,    1.48,   1.0710,    3.93,    1.15,    1.61, 36,   9.61,  17.07,   0.00,   1.40,  71.92,  1514,123,   0.315,   0.900,4536
